ÏñÔª	¹âÇ¿
1456	216
1457	217
1458	215
1459	215
1460	215
1461	214
1462	212
1463	210
1464	211
1465	209
1466	210
1467	211
1468	213
1469	214
1470	214
1471	212
1472	212
1473	209
1474	205
1475	200
1476	194
1477	184
1478	173
1479	167
1480	159
1481	152
1482	140
1483	130
1484	119
1485	109
1486	100
1487	 92
1488	 85
1489	 79
1490	 75
1491	 72
1492	 68
1493	 66
1494	 64
1495	 62
1496	 60
1497	 60
1498	 59
1499	 59
1500	 58
1501	 59
1502	 59
1503	 58
1504	 59
1505	 58
1506	 56
1507	 55
1508	 55
1509	 54
1510	 54
1511	 54
1512	 56
1513	 56
1514	 54
1515	 53
1516	 53
1517	 54
1518	 56
1519	 56
1520	 54
1521	 54
1522	 53
1523	 53
1524	 52
1525	 53
1526	 55
1527	 55
1528	 55
1529	 54
1530	 55
1531	 55
1532	 57
1533	 57
1534	 58
1535	 57
1536	 57
1537	 57
1538	 57
1539	 58
1540	 57
1541	 56
1542	 55
1543	 57
1544	 60
1545	 62
1546	 65
1547	 68
1548	 71
1549	 77
1550	 85
1551	 99
1552	113
1553	125
1554	136
1555	147
1556	157
1557	165
1558	172
1559	179
1560	185
1561	191
1562	197
1563	199
1564	204
1565	207
1566	207
1567	209
1568	207
1569	208
1570	209
1571	208
1572	207
1573	206
1574	207
1575	209
1576	210
1577	212
1578	213
1579	213
1580	213
1581	213
1582	214
1583	217
1584	218
1585	219
1586	221
1587	221
1588	222
1589	221
1590	219
1591	215
1592	208
1593	199
1594	188
1595	177
1596	164
1597	152
1598	139
1599	128
1600	120
1601	112
1602	104
1603	 96
1604	 89
1605	 83
1606	 80
1607	 75
1608	 72
1609	 69
1610	 67
1611	 64
1612	 62
1613	 62
1614	 61
1615	 63
1616	 64
1617	 65
1618	 67
1619	 70
1620	 77
1621	 85
1622	 94
1623	105
1624	122
1625	141
1626	154
1627	168
1628	179
1629	188
1630	197
1631	203
1632	208
1633	212
1634	215
1635	216
1636	216
1637	214
1638	210
1639	204
1640	195
1641	185
1642	170
1643	157
1644	143
1645	129
1646	117
1647	105
1648	 97
1649	 88
1650	 79
1651	 74
1652	 70
1653	 68
1654	 66
1655	 65
1656	 63
1657	 60
1658	 58
1659	 56
1660	 56
1661	 56
1662	 57
1663	 58
1664	 59
1665	 59
1666	 60
1667	 62
1668	 62
1669	 63
1670	 61
1671	 61
1672	 60
1673	 58
1674	 58
1675	 58
1676	 59
1677	 61
1678	 61
1679	 61
1680	 60
1681	 61
1682	 61
1683	 61
1684	 63
1685	 65
1686	 66
1687	 65
1688	 63
1689	 61
1690	 60
1691	 59
1692	 60
1693	 61
1694	 61
1695	 63
1696	 64
1697	 65
1698	 64
1699	 60
1700	 58
1701	 58
1702	 58
1703	 59
1704	 60
1705	 59
1706	 59
1707	 58
1708	 58
1709	 60
1710	 60
1711	 61
1712	 63
1713	 67
1714	 72
1715	 80
1716	 93
1717	109
1718	126
1719	143
1720	157
1721	169
1722	180
1723	190
1724	195
1725	201
1726	205
1727	207
1728	211
1729	213
1730	215
1731	218
1732	219
1733	219
1734	219
1735	220
1736	221
1737	220
1738	219
1739	218
1740	216
1741	217
1742	217
1743	218
1744	220
1745	221
1746	221
1747	221
1748	222
1749	221
1750	221
1751	218
1752	214
1753	207
1754	199
1755	187
1756	175
1757	163
1758	150
1759	138
1760	125
1761	113
1762	103
1763	 95
1764	 88
1765	 82
1766	 77
1767	 75
1768	 74
1769	 73
1770	 73
1771	 73
1772	 74
1773	 74
1774	 72
1775	 68
1776	 69
1777	 68
1778	 69
1779	 71
1780	 75
1781	 79
1782	 82
1783	 90
1784	102
1785	115
1786	131
1787	147
1788	160
1789	170
1790	181
1791	189
1792	198
1793	204
1794	209
1795	212
1796	213
1797	213
1798	210
1799	204
1800	196
1801	184
1802	171
1803	159
1804	147
1805	133
1806	121
1807	107
1808	 98
1809	 89
1810	 83
1811	 78
1812	 72
1813	 69
1814	 67
1815	 63
1816	 64
1817	 64
1818	 66
1819	 65
1820	 65
1821	 63
1822	 63
1823	 63
1824	 63
1825	 64
1826	 64
1827	 65
1828	 65
1829	 64
1830	 62
1831	 62
1832	 63
1833	 64
1834	 68
1835	 70
1836	 69
1837	 67
1838	 65
1839	 64
1840	 63
1841	 62
1842	 62
1843	 63
1844	 64
1845	 63
1846	 63
1847	 62
1848	 62
1849	 61
1850	 62
1851	 61
1852	 61
1853	 60
1854	 59
1855	 59
1856	 60
1857	 63
1858	 65
1859	 65
1860	 65
1861	 66
1862	 67
1863	 66
1864	 66
1865	 65
1866	 64
1867	 64
1868	 64
1869	 63
1870	 64
1871	 65
1872	 68
1873	 71
1874	 75
1875	 80
1876	 89
1877	 98
1878	112
1879	129
1880	146
1881	162
1882	177
1883	187
1884	195
1885	202
1886	204
1887	207
1888	208
1889	210
1890	211
1891	213
1892	214
1893	217
1894	218
1895	219
1896	220
1897	221
1898	219
1899	220
1900	218
1901	218
1902	215
1903	216
1904	218
1905	218
1906	220
1907	220
1908	220
1909	219
1910	219
1911	216
1912	216
1913	212
1914	210
1915	207
1916	206
1917	201
1918	196
1919	187
1920	174
1921	160
1922	147
1923	135
1924	122
1925	109
1926	 99
1927	 92
1928	 87
1929	 83
1930	 79
1931	 75
1932	 72
1933	 72
1934	 73
1935	 74
1936	 73
1937	 74
1938	 72
1939	 73
1940	 74
1941	 74
1942	 77
1943	 85
1944	 93
1945	106
1946	120
1947	135
1948	149
1949	163
1950	175
1951	184
1952	193
1953	199
1954	204
1955	206
1956	210
1957	213
1958	214
1959	216
1960	220
1961	221
1962	222
1963	220
1964	214
1965	208
1966	194
1967	180
1968	164
1969	147
1970	129
1971	115
1972	105
1973	 96
1974	 88
1975	 82
1976	 77
1977	 73
1978	 69
1979	 67
1980	 68
1981	 70
1982	 73
1983	 73
1984	 73
1985	 74
1986	 74
1987	 73
1988	 76
1989	 84
1990	 99
1991	119
1992	138
1993	154
1994	165
1995	176
1996	183
1997	191
1998	198
1999	202
2000	203
2001	206
2002	207
2003	209
2004	211
2005	211
2006	213
2007	211
2008	211
2009	210
2010	210
2011	211
2012	213
2013	214
2014	215
2015	216
2016	217
2017	219
2018	220
2019	220
2020	222
2021	223
2022	225
2023	225
2024	223
2025	224
2026	223
2027	222
2028	221
2029	220
2030	219
2031	219
2032	219
2033	218
2034	219
2035	220
2036	220
2037	221
2038	221
2039	222
2040	224
2041	224
2042	224
2043	223
2044	222
2045	222
2046	220
2047	221
2048	220
2049	219
2050	220
2051	220
2052	218
2053	218
2054	217
2055	216
2056	215
2057	213
2058	211
2059	211
2060	209
2061	209
2062	210
2063	212
2064	213
2065	217
2066	217
2067	217
2068	217
2069	215
2070	215
2071	215
2072	216
2073	215
2074	214
2075	213
2076	211
2077	208
2078	201
2079	192
2080	177
2081	166
2082	153
2083	139
2084	124
2085	113
2086	103
2087	 97
2088	 93
2089	 88
2090	 83
2091	 79
2092	 74
2093	 70
2094	 66
2095	 65
2096	 65
2097	 64
2098	 63
2099	 63
2100	 63
2101	 67
2102	 77
2103	 91
2104	104
2105	118
2106	135
2107	151
2108	165
2109	179
2110	187
2111	195
2112	200
2113	202
2114	204
2115	207
2116	207
2117	209
2118	206
2119	207
2120	208
2121	208
2122	206
2123	203
2124	197
2125	189
2126	177
2127	162
2128	150
2129	137
2130	123
2131	113
2132	107
2133	 98
2134	 92
2135	 88
2136	 84
2137	 79
2138	 75
2139	 72
2140	 69
2141	 67
2142	 65
2143	 63
2144	 62
2145	 61
2146	 61
2147	 62
2148	 62
2149	 62
2150	 63
2151	 63
2152	 63
2153	 63
2154	 62
2155	 62
2156	 63
2157	 63
2158	 61
2159	 59
2160	 58
2161	 58
2162	 59
2163	 61
2164	 62
2165	 62
2166	 63
2167	 62
2168	 62
2169	 63
2170	 65
2171	 66
2172	 71
2173	 76
2174	 85
2175	 98
2176	113
2177	125
2178	139
2179	151
2180	160
2181	168
2182	174
2183	181
2184	183
2185	186
2186	190
2187	191
2188	193
2189	192
2190	189
2191	182
2192	172
2193	159
2194	146
2195	133
2196	121
2197	110
2198	101
2199	 94
2200	 89
2201	 83
2202	 79
2203	 76
2204	 74
2205	 72
2206	 68
2207	 65
2208	 64
2209	 64
2210	 67
2211	 67
2212	 66
2213	 64
2214	 62
2215	 62
2216	 65
2217	 66
2218	 66
2219	 65
2220	 64
2221	 63
2222	 63
2223	 64
2224	 64
2225	 62
2226	 61
2227	 58
2228	 58
2229	 59
2230	 58
2231	 59
2232	 64
2233	 68
2234	 69
2235	 67
2236	 65
2237	 66
2238	 68
2239	 73
2240	 81
2241	 90
2242	103
2243	118
2244	134
2245	149
2246	162
2247	173
2248	181
2249	187
2250	191
2251	194
2252	196
2253	199
2254	199
2255	200
2256	201
2257	200
2258	202
2259	202
2260	204
